Date,AAPL,GOOGL,MSFT,SBUX,TSLA
2020-01-03,-0.009737005151526217,-0.005243474227932012,-0.01236018997702175,-0.005850197454136784,0.029202666031253596
2020-01-06,0.007877914272018218,0.02630430785572258,0.0025802728866679767,-0.007921777222325775,0.01907272667703168
2020-01-07,-0.004665682502616803,-0.0019347203422351163,-0.009299075026924855,-0.0030562791531232895,0.03806668816374989
2020-01-08,0.015943723628069815,0.007093845025201535,0.016008135113260248,0.011541076713442917,0.0480304548941991
2020-01-09,0.021052469400441493,0.0104412689251546,0.012240150221319178,0.018401697135184834,-0.022189370551830203
2020-01-10,0.0021927341071693663,0.006438729457799984,-0.004681063207458591,-0.004108925664114855,-0.006647305844980641
2020-01-13,0.02118320130736392,0.007718426299893466,0.012148532310925202,0.010148123238183187,0.09318697098984491
2020-01-14,-0.013613873685774982,-0.00657846506427985,-0.0072094844779191794,-0.0009730691646855402,0.024560161797390158
2020-01-15,-0.004318502052577622,0.005999831946836119,0.0065882530748674634,0.00602037427291739,-0.03673167728992558
2020-01-16,0.012458298314112845,0.007587598691281,0.018037038238526034,0.011282789273166468,-0.009691936330966933
2020-01-17,0.011031487288352747,0.020043848755540924,0.005640498442368048,0.011177328862878288,-0.00585939748599337
2020-01-21,-0.006805614260646973,0.0018433984465579508,-0.0036102706172831366,-0.011730477001328218,0.06942470813602954
2020-01-22,0.003557327368494884,0.0012951222263215601,-0.004916087236313195,0.0,0.04003220903758037
2020-01-23,0.0047918840651953246,0.0003488683449534922,0.006258925218274722,0.013132919884951,0.004642879090049619
2020-01-24,-0.002882530195469626,-0.012550322849870434,-0.010280225797791732,-0.018523166633591083,-0.01301865352645198
2020-01-27,-0.029818794266143662,-0.023771705991862586,-0.016783494586558388,-0.03651880414441223,-0.012111838528207686
2020-01-28,0.027883348890897275,0.01302607020738206,0.019384012991842416,-0.001471069437883827,0.01582307695878922
2020-01-29,0.020705892406207897,0.00426416912918312,0.015493784311600272,-0.02143646755340089,0.02456785692624286
2020-01-30,-0.0014578194118819287,-0.0016825060615723567,0.027874081739308044,-0.010224024640626779,0.09796749948780646
2020-01-31,-0.04528724612838134,-0.014873367592363162,-0.014886524939580552,-0.01181726700492518,0.01510076319533549
2020-02-03,-0.002779625125919004,0.03417927415147114,0.024107787590782817,0.013819821548411198,0.1814757607341526
2020-02-04,0.03247539990147349,-0.02540452901262093,0.032384377783480786,0.027184110510980377,0.12860799448894555
