terminal_eq,terminal_mvp,terminal_ms
1.3862376102046574,0.9348972842286505,1.065256481274868
1.4177677088376892,1.1910069420282434,1.8509870218328397
1.479247112437467,1.1006462581108907,1.5418995666512987
1.4107208898854595,1.2079942172722469,1.0808234836722108
1.1878717097833866,1.3576881448664477,1.414028571656083
1.4467901199659445,1.442286128065678,0.7776540848267353
1.6296769192969736,1.0724677995043452,1.2678182749546472
0.7788331611452847,1.1318409842838433,1.0472012623463927
1.3757105699051073,1.00501912449911,1.9298771819956282
1.4537906077852876,0.7324701641973562,1.8597865544061387
1.166526814481614,0.8164150453239332,0.9714923967498312
0.8372329112284076,1.065960970701166,0.7687973581273677
1.704940408388554,1.184314953881659,1.0124868468271726
0.9819680843575729,1.1254753976818717,1.274782391052146
1.6310119699478158,1.412592665544514,1.606449361850079
1.18657544556106,1.618078208564185,1.4715365075923423
0.962430223289707,1.3649427298463883,1.3296170588033098
0.8925220600739742,0.7994397656070914,1.5420021090625362
1.1534112998649073,0.8261003689190437,1.425611526585739
1.2439591457086108,1.20591618193741,1.0940257991002034
1.3063696753317577,1.127203238069728,1.514139592102185
0.9228070018855205,1.557319296472295,0.5234403795655145
1.3047957070328635,1.1547933103387154,1.1975917888511893
1.5866471074455488,0.8755709850154463,0.8224593295215831
1.6926983343791573,0.9037239333339034,0.8940719360321029
0.872178478914532,1.3909010778277195,3.107189314062127
1.1828350791617261,1.1550369628537296,0.9270036037959366
0.9261568488670008,0.42362864350370594,0.9733276590283207
1.196005088768446,1.0240180177478928,0.9675079523163244
1.001769755982834,1.1265777585659336,1.0476842966632451
1.6178238204275937,0.9085848977008361,0.816894318660331
1.4673835797443107,1.1395239210778958,1.049196732867449
1.2731977864263326,1.5158663333951352,1.3427105046119525
1.6281716903864494,0.7550412720028467,1.2367848699262054
1.4260230703497572,1.1338427542470013,1.2374893344393512
1.4163563019995558,1.1491185331488736,2.1060038245143784
1.5377948274591307,0.7825436480916521,2.068948888865131
1.2073370968845405,1.554381892346694,0.9866092428711193
0.8883913508190611,0.912133221808088,1.435642971277445
0.9711665470756894,0.882470605387123,1.2687306804204346
1.3405538560859784,0.9953229644526326,1.659872450210671
0.8431890275411297,1.260802748057823,1.384048202394579
0.6361656449689953,1.7521774071510263,0.880164648484607
1.0296979232232366,1.1194969855354648,2.0692593472632077
1.2857702843537122,1.3194311893705255,1.0499208889794842
0.6132887553518339,0.9676987476200274,0.7934085497837211
1.5012386600497116,0.6764039534004896,1.6748178143361891
1.0777196703171084,1.9246678801860835,1.9767191895278604
1.9510857472253276,0.9966942232985322,1.217604622020979
1.024333563691572,1.159609343864979,0.942449268383278
1.4950404015406573,0.8526994076632693,1.1469110705836718
0.7884569221376418,0.7521868140900931,1.7879603739319592
1.3042153462271338,1.3179726509490228,1.2410979908902044
1.2729795922051585,0.8684559871153051,1.156457064301957
1.7038991477910022,1.2035152156622155,1.1620190168896973
0.9383549524884078,1.5039884596367836,0.965307329913348
1.1431666791174746,1.4518935127128552,1.200005026644549
0.6423815717098502,1.064944893987083,1.2385378953169035
1.5413632440589167,1.348598390609826,1.4083127766462635
0.9273366205889473,1.0494099045880814,0.43908380618392623
0.9664834466566926,1.6188188323031791,1.1672472521423678
1.08849159986573,1.0506163744481976,1.1460006390931918
0.8888985729014622,1.002798104598345,1.0878897331799249
1.1643383039670785,0.9528710153797317,1.9752603336028618
1.7030917517939874,1.2403225950800558,1.3225024257881104
0.9510100929734164,0.9190274041785667,0.6075430619287518
1.2980991482896782,1.1952480767577303,1.361577853326674
1.4643984480619872,2.0979331860688735,1.0841106220063375
1.2771123623068632,0.9751659848629213,1.2866785438798514
0.8859296297904815,0.9915665679797182,1.0192836188218155
1.1137008213864532,0.8533220227691777,1.598139171277687
1.1362667938248805,1.7651083036808592,1.2134072159840574
1.5218503395333511,1.173366765349718,1.5799223841258954
1.996148833255015,1.0843289475994033,0.9463609154182767
1.4667263789563132,0.8184276650405717,1.9537374412720476
1.153351703315699,1.303946095456409,2.3586373893954193
1.283550332188632,0.8880658761769696,1.2737039323634005
1.2398638323559175,1.1723907642587292,0.888673980696789
1.455127514076761,0.9261320902594599,1.0695054744738242
0.6061140084405228,1.274708294593404,1.0679211580960053
1.7645664683473874,1.0712005323158478,2.103912371972479
1.5317133929710138,0.9249722412304545,0.9260187315468292
1.0085591095195428,1.6883138514378337,1.200414997737239
1.0568042861084863,1.8937111293484024,2.0273841988405126
1.255013178703883,0.8356582845985733,0.9057812025463083
